Place,Business2015,Employment2015
"Z02121 (Dorchester, MA)",193,1846
"Z02122 (Dorchester, MA)",512,7917
"Z02123 (Boston, MA)",4,c
"Z02124 (Dorchester Center, MA)",569,6026
"Z02125 (Dorchester, MA)",458,10691
"Z02126 (Mattapan, MA)",205,2087
"Z02127 (Boston, MA)",665,10423
"Z02128 (Boston, MA)",751,23144
"Z02129 (Charlestown, MA)",488,10150
"Z02130 (Jamaica Plain, MA)",645,14161
"Z02131 (Roslindale, MA)",411,5681
"Z02132 (West Roxbury, MA)",523,6105
"Z02133 (Boston, MA)",6,20
"Z02134 (Allston, MA)",534,10772
"Z02135 (Brighton, MA)",706,17376
"Z02136 (Hyde Park, MA)",441,5361
"Z02137 (Readville, MA)",9,74
"Z02138 (Cambridge, MA)",1160,48738
"Z02139 (Cambridge, MA)",1094,43134
"Z02140 (Cambridge, MA)",509,8460
"Z02141 (Cambridge, MA)",476,9308
"Z02142 (Cambridge, MA)",542,22807
"Z02143 (Somerville, MA)",637,10642
"Z02144 (Somerville, MA)",430,4796
"Z02145 (Somerville, MA)",387,5053
"Z02148 (Malden, MA)",959,12239
"Z02149 (Everett, MA)",727,11116
"Z02150 (Chelsea, MA)",690,12569
"Z02151 (Revere, MA)",761,7928
"Z02152 (Winthrop, MA)",264,1680
"Z02153 (Medford, MA)",7,166
"Z02155 (Medford, MA)",1138,18755
"Z02156 (West Medford, MA)",4,63
"Z02163 (Boston, MA)",30,344
"Z02169 (Quincy, MA)",1518,28276
"Z02170 (Quincy, MA)",269,2097
"Z02171 (Quincy, MA)",370,10626
"Z02176 (Melrose, MA)",505,5402
"Z02180 (Stoneham, MA)",619,7423
"Z02184 (Braintree, MA)",1501,28636
"Z02185 (Braintree, MA)",13,90
"Z02186 (Milton, MA)",435,4757
"Z02187 (Milton Village, MA)",6,28
"Z02188 (Weymouth, MA)",309,3550
"Z02189 (East Weymouth, MA)",399,5755
"Z02190 (South Weymouth, MA)",358,7618
"Z02191 (North Weymouth, MA)",134,1172
"Z02196 (Boston, MA)",6,6
"Z02199 (Boston, MA)",255,21713
"Z02201 (Boston, MA)",4,20
"Z02203 (Boston, MA)",12,48
"Z02205 (Boston, MA)",13,557
"Z02210 (Boston, MA)",970,44824
"Z02211 (Boston, MA)",1,a
"Z02212 (Boston, MA)",1,b
"Z02215 (Boston, MA)",527,53359
"Z02217 (Boston, MA)",1,a
"Z02222 (Boston, MA)",8,20
"Z02228 (East Boston, MA)",1,a
"Z02238 (Cambridge, MA)",22,g
"Z02241 (Boston, MA)",1,a
"Z02269 (Quincy, MA)",23,1307
"Z02283 (Boston, MA)",4,b
"Z02297 (Boston, MA)",1,a
"Z02301 (Brockton, MA)",1330,24996
"Z02302 (Brockton, MA)",363,6909
"Z02303 (Brockton, MA)",15,f
"Z02304 (Brockton, MA)",2,a
"Z02305 (Brockton, MA)",3,b
"Z02322 (Avon, MA)",234,5718
"Z02324 (Bridgewater, MA)",478,5030
"Z02325 (Bridgewater, MA)",3,30
"Z02327 (Bryantville, MA)",8,33
"Z02330 (Carver, MA)",185,1443
"Z02331 (Duxbury, MA)",36,142
"Z02332 (Duxbury, MA)",330,2257
"Z02333 (East Bridgewater, MA)",253,1975
"Z02334 (Easton, MA)",23,292
"Z02337 (Elmwood, MA)",1,a
"Z02338 (Halifax, MA)",110,942
"Z02339 (Hanover, MA)",635,7630
"Z02340 (Hanover, MA)",2,a
"Z02341 (Hanson, MA)",175,1392
"Z02343 (Holbrook, MA)",249,2612
"Z02344 (Middleboro, MA)",1,e
"Z02345 (Manomet, MA)",26,365
"Z02346 (Middleboro, MA)",525,6767
"Z02347 (Lakeville, MA)",281,2600
"Z02348 (Lakeville, MA)",1,a
"Z02349 (Middleboro, MA)",1,b
"Z02350 (Monponsett, MA)",1,a
"Z02351 (Abington, MA)",334,3774
"Z02355 (North Carver, MA)",6,31
"Z02356 (North Easton, MA)",270,2635
"Z02357 (North Easton, MA)",3,g
"Z02358 (North Pembroke, MA)",8,57
"Z02359 (Pembroke, MA)",497,5496
"Z02360 (Plymouth, MA)",1474,24328
"Z02361 (Plymouth, MA)",12,88
"Z02362 (Plymouth, MA)",12,347
"Z02364 (Kingston, MA)",387,4741
"Z02366 (South Carver, MA)",11,59
"Z02367 (Plympton, MA)",66,1361
"Z02368 (Randolph, MA)",596,7867
"Z02370 (Rockland, MA)",469,6478
"Z02375 (South Easton, MA)",396,6084
"Z02379 (West Bridgewater, MA)",356,6169
"Z02381 (White Horse Beach, MA)",2,a
"Z02382 (Whitman, MA)",219,1867
"Z02420 (Lexington, MA)",489,4693
"Z02421 (Lexington, MA)",544,11434
"Z02445 (Brookline, MA)",484,5334
"Z02446 (Brookline, MA)",774,7296
"Z02447 (Brookline Village, MA)",7,31
"Z02451 (Waltham, MA)",1280,44800
"Z02452 (Waltham, MA)",456,7989
"Z02453 (Waltham, MA)",812,17653
"Z02454 (Waltham, MA)",39,988
"Z02455 (North Waltham, MA)",5,28
"Z02456 (New Town, MA)",2,a
"Z02457 (Babson Park, MA)",19,g
"Z02458 (Newton, MA)",504,7745
"Z02459 (Newton Center, MA)",726,11642
"Z02460 (Newtonville, MA)",258,2357
"Z02461 (Newton Highlands, MA)",256,2370
"Z02462 (Newton Lower Falls, MA)",124,5788
"Z02464 (Newton Upper Falls, MA)",264,4749
"Z02465 (West Newton, MA)",316,2706
"Z02466 (Auburndale, MA)",291,10848
"Z02467 (Chestnut Hill, MA)",510,11329
"Z02468 (Waban, MA)",98,492
"Z02471 (Watertown, MA)",21,729
"Z02472 (Watertown, MA)",1012,23492
"Z02474 (Arlington, MA)",487,3559
"Z02475 (Arlington Heights, MA)",4,22
"Z02476 (Arlington, MA)",412,3793
"Z02478 (Belmont, MA)",602,6565
"Z02479 (Waverley, MA)",2,a
"Z02481 (Wellesley Hills, MA)",728,12304
"Z02482 (Wellesley, MA)",447,4386
"Z02492 (Needham, MA)",549,6540
"Z02493 (Weston, MA)",326,3765
"Z02494 (Needham Heights, MA)",684,13347
"Z02532 (Buzzards Bay, MA)",305,3408
"Z02534 (Cataumet, MA)",68,413
"Z02535 (Chilmark, MA)",49,166
"Z02536 (East Falmouth, MA)",376,2509
"Z02537 (East Sandwich, MA)",118,1082
"Z02538 (East Wareham, MA)",112,1361
"Z02539 (Edgartown, MA)",334,1421
"Z02540 (Falmouth, MA)",502,5973
"Z02541 (Falmouth, MA)",21,72
"Z02542 (Buzzards Bay, MA)",9,102
"Z02543 (Woods Hole, MA)",47,1536
"Z02552 (Menemsha, MA)",5,6
"Z02553 (Monument Beach, MA)",24,88
"Z02554 (Nantucket, MA)",925,4057
"Z02556 (North Falmouth, MA)",107,746
"Z02557 (Oak Bluffs, MA)",218,1320
"Z02558 (Onset, MA)",34,146
"Z02559 (Pocasset, MA)",111,978
"Z02561 (Sagamore, MA)",39,301
"Z02562 (Sagamore Beach, MA)",82,835
"Z02563 (Sandwich, MA)",381,3149
"Z02564 (Siasconset, MA)",18,53
"Z02568 (Vineyard Haven, MA)",370,2046
"Z02571 (Wareham, MA)",324,5207
"Z02574 (West Falmouth, MA)",29,145
"Z02575 (West Tisbury, MA)",90,410
"Z02576 (West Wareham, MA)",91,942
"Z02584 (Nantucket, MA)",52,190
"Z02601 (Hyannis, MA)",1200,19420
"Z02630 (Barnstable, MA)",89,410
"Z02631 (Brewster, MA)",306,2078
"Z02632 (Centerville, MA)",264,1668
"Z02633 (Chatham, MA)",243,1351
"Z02634 (Centerville, MA)",1,a
"Z02635 (Cotuit, MA)",88,343
"Z02637 (Cummaquid, MA)",7,41
"Z02638 (Dennis, MA)",90,448
"Z02639 (Dennis Port, MA)",118,620
"Z02641 (East Dennis, MA)",41,214
"Z02642 (Eastham, MA)",101,486
"Z02643 (East Orleans, MA)",26,84
"Z02644 (Forestdale, MA)",72,391
"Z02645 (Harwich, MA)",256,1758
"Z02646 (Harwich Port, MA)",112,784
"Z02647 (Hyannis Port, MA)",13,67
"Z02648 (Marstons Mills, MA)",190,1098
"Z02649 (Mashpee, MA)",432,3493
"Z02650 (North Chatham, MA)",33,332
"Z02651 (North Eastham, MA)",68,353
"Z02652 (North Truro, MA)",62,160
"Z02653 (Orleans, MA)",412,3203
"Z02655 (Osterville, MA)",195,1289
"Z02657 (Provincetown, MA)",389,1483
"Z02659 (South Chatham, MA)",52,214
"Z02660 (South Dennis, MA)",226,1987
"Z02661 (South Harwich, MA)",15,e
"Z02662 (South Orleans, MA)",13,47
"Z02663 (South Wellfleet, MA)",22,80
"Z02664 (South Yarmouth, MA)",323,3473
"Z02666 (Truro, MA)",40,111
"Z02667 (Wellfleet, MA)",132,495
"Z02668 (West Barnstable, MA)",94,503
"Z02669 (West Chatham, MA)",31,110
"Z02670 (West Dennis, MA)",57,269
"Z02671 (West Harwich, MA)",51,208
"Z02672 (West Hyannisport, MA)",10,20
"Z02673 (West Yarmouth, MA)",238,2089
"Z02675 (Yarmouth Port, MA)",166,1261
"Z02702 (Assonet, MA)",97,2102
"Z02703 (Attleboro, MA)",904,16187
"Z02712 (Chartley, MA)",5,b
"Z02713 (Cuttyhunk, MA)",8,20
"Z02714 (Dartmouth, MA)",4,278
"Z02715 (Dighton, MA)",67,369
"Z02717 (East Freetown, MA)",99,961
"Z02718 (East Taunton, MA)",109,1649
"Z02719 (Fairhaven, MA)",393,7032
"Z02720 (Fall River, MA)",751,15782
"Z02721 (Fall River, MA)",566,8192
"Z02722 (Fall River, MA)",52,567
"Z02723 (Fall River, MA)",248,2964
"Z02724 (Fall River, MA)",215,3060
"Z02725 (Somerset, MA)",67,1688
"Z02726 (Somerset, MA)",281,2760
"Z02738 (Marion, MA)",156,1876
"Z02739 (Mattapoisett, MA)",194,1186
"Z02740 (New Bedford, MA)",923,15731
"Z02741 (New Bedford, MA)",11,189
"Z02742 (New Bedford, MA)",5,c
"Z02743 (Acushnet, MA)",172,2136
"Z02744 (New Bedford, MA)",178,1659
"Z02745 (New Bedford, MA)",496,8494
"Z02746 (New Bedford, MA)",302,4043
"Z02747 (North Dartmouth, MA)",655,11075
"Z02748 (South Dartmouth, MA)",212,1647
"Z02760 (North Attleboro, MA)",703,8237
"Z02761 (North Attleboro, MA)",19,188
"Z02762 (Plainville, MA)",317,3798
"Z02763 (Attleboro Falls, MA)",123,2090
"Z02764 (North Dighton, MA)",82,625
"Z02766 (Norton, MA)",363,6134
"Z02767 (Raynham, MA)",506,9837
"Z02768 (Raynham Center, MA)",4,63
